2026-04-26 22:37:31,802 | INFO | Test accuracy: 97.62%
2026-04-26 22:37:33,987 | DEBUG | Correct:6840
2026-04-26 22:37:33,987 | DEBUG | Total:7000
2026-04-26 22:37:33,987 | INFO | Test accuracy: 97.71%
2026-04-26 22:37:36,193 | DEBUG | Correct:7838
2026-04-26 22:37:36,194 | DEBUG | Total:8000
2026-04-26 22:37:36,194 | INFO | Test accuracy: 97.97%
2026-04-26 22:37:38,378 | DEBUG | Correct:8830
2026-04-26 22:37:38,379 | DEBUG | Total:9000
2026-04-26 22:37:38,379 | INFO | Test accuracy: 98.11%
2026-04-26 22:37:40,560 | DEBUG | Correct:9810
2026-04-26 22:37:40,560 | DEBUG | Total:10000
2026-04-26 22:37:40,560 | INFO | Test accuracy: 98.10%
2026-04-26 22:42:07,836 | INFO | Loaded net(s) l1-k_mnist-b64-lr0.001-e40-i784-o512.pth
2026-04-26 22:42:07,836 | INFO | Testing ['l1-k_mnist-b64-lr0.001-e40-i784-o512.pth'] on mnist dataset
2026-04-26 22:42:09,697 | DEBUG | Correct:977
2026-04-26 22:42:09,697 | DEBUG | Total:1000
2026-04-26 22:42:09,697 | INFO | Test accuracy: 97.70%
2026-04-26 22:42:11,429 | DEBUG | Correct:1933
2026-04-26 22:42:11,429 | DEBUG | Total:2000
2026-04-26 22:42:11,429 | INFO | Test accuracy: 96.65%
2026-04-26 22:42:13,069 | DEBUG | Correct:2903
2026-04-26 22:42:13,069 | DEBUG | Total:3000
2026-04-26 22:42:13,069 | INFO | Test accuracy: 96.77%
2026-04-26 22:42:14,715 | DEBUG | Correct:3869
2026-04-26 22:42:14,716 | DEBUG | Total:4000
2026-04-26 22:42:14,716 | INFO | Test accuracy: 96.72%
2026-04-26 22:42:16,359 | DEBUG | Correct:4836
2026-04-26 22:42:16,359 | DEBUG | Total:5000
2026-04-26 22:42:16,359 | INFO | Test accuracy: 96.72%
2026-04-26 22:42:17,997 | DEBUG | Correct:5816
2026-04-26 22:42:17,997 | DEBUG | Total:6000
2026-04-26 22:42:17,997 | INFO | Test accuracy: 96.93%
2026-04-26 22:42:19,630 | DEBUG | Correct:6797
2026-04-26 22:42:19,631 | DEBUG | Total:7000
2026-04-26 22:42:19,631 | INFO | Test accuracy: 97.10%
2026-04-26 22:42:21,290 | DEBUG | Correct:7787
2026-04-26 22:42:21,290 | DEBUG | Total:8000
2026-04-26 22:42:21,291 | INFO | Test accuracy: 97.34%
2026-04-26 22:42:22,937 | DEBUG | Correct:8779
2026-04-26 22:42:22,937 | DEBUG | Total:9000
2026-04-26 22:42:22,937 | INFO | Test accuracy: 97.54%
2026-04-26 22:42:24,607 | DEBUG | Correct:9758
2026-04-26 22:42:24,608 | DEBUG | Total:10000
2026-04-26 22:42:24,608 | INFO | Test accuracy: 97.58%
2026-04-26 22:43:03,854 | INFO | Loaded net(s) l2-k_mnist-b64-lr0.01-e40-i512-o512.pth
